NAME	CHR	GC-CONTENT	TYPE
A1BG	19	55.83	protein_coding
A1BG-AS1	19	55.91	antisense
A1CF	10	36.41	protein_coding
A2M	12	37.18	protein_coding
A2ML1	12	44.25	protein_coding
A2MP1	12	37.03	pseudogene
A3GALT2P	1	58.92	pseudogene
A4GALT	22	52.39	protein_coding
A4GNT	3	42.65	protein_coding
AAAS	12	49.39	protein_coding
AACP	8	40.66	pseudogene
AACS	12	51.22	protein_coding
AACSP1	5	48.81	pseudogene
AADAC	3	35.32	protein_coding
AADACL2	HSCHR3_1_CTG2_1	35.3	protein_coding
AADACL2	3	35.3	protein_coding
AADACL3	1	46.1	protein_coding
AADACL4	1	47.23	protein_coding
AADAT	4	38.78	protein_coding
AAGAB	15	39.49	protein_coding
AAK1	2	41.98	protein_coding
AAMDC	11	41.83	protein_coding
AAMP	2	56.53	protein_coding
AANAT	17	53.01	protein_coding
AAR2	20	47.41	protein_coding
AARD	8	43.15	protein_coding
AARS	16	49.47	protein_coding
AARS2	6	54.66	protein_coding
AARSD1	17	48.21	protein_coding
AASDH	4	38.97	protein_coding
AASDHPPT	11	36.57	protein_coding
AASS	7	36.48	protein_coding
AATF	17	40.51	protein_coding
AATK	17	61.42	protein_coding
AATK-AS1	17	56.74	antisense
AB019438.63	14	56.85	pseudogene
AB019438.66	14	59.57	pseudogene
AB019439.68	14	58.21	pseudogene
AB019441.29	14	53.43	pseudogene
ABAT	16	47.35	protein_coding
ABBA01057584.1	HG1308_PATCH	39.1	protein_coding
ABC11-48400900C8.1	8	51.51	pseudogene
ABC12-47043100G14.2	8	34.17	pseudogene
ABC13-48559800H2.1	HSCHR1_2_CTG31	55.85	pseudogene
ABC13-48559800H2.2	HSCHR1_2_CTG31	53.63	pseudogene
ABC7-42389800N19.1	HG858_PATCH	54.31	pseudogene
ABC7-42389800N19.1	HSCHR12_1_CTG1	54.32	pseudogene
ABC7-42389800N19.1	12	54.31	pseudogene
ABC7-42391500H16.2	HG1032_PATCH	49.57	pseudogene
ABC9-43961700F1.1	HSCHR17_5_CTG4	62.15	pseudogene
ABCA1	9	43.42	protein_coding
ABCA10	17	36.13	protein_coding
ABCA11P	4	39.69	pseudogene
ABCA12	2	37.18	protein_coding
ABCA13	7	38.84	protein_coding
ABCA17P	16	43.85	pseudogene
ABCA2	9	66.66	protein_coding
ABCA3	16	53.03	protein_coding
ABCA4	1	46.44	protein_coding
ABCA5	17	34.61	protein_coding
ABCA6	17	36.3	protein_coding
ABCA7	19	60.48	protein_coding
ABCA8	17	36.81	protein_coding
ABCA9	17	37.68	protein_coding
ABCB1	7	37.05	protein_coding
ABCB10	1	43.62	protein_coding
ABCB10P1	15	56.2	pseudogene
ABCB10P3	15	56.19	pseudogene
ABCB10P4	HSCHR15_1_CTG4	56.21	pseudogene
ABCB10P4	15	56.18	pseudogene
ABCB11	HSCHR2_1_CTG12	36.93	protein_coding
ABCB11	2	36.93	protein_coding
ABCB4	7	38.6	protein_coding
ABCB5	7	37.73	protein_coding
ABCB6	2	54.46	protein_coding
ABCB7	X	35.99	protein_coding
ABCB8	7	57.04	protein_coding
ABCB9	12	52.47	protein_coding
ABCC1	16	48.48	protein_coding
ABCC10	6	52.94	protein_coding
ABCC11	16	45.62	protein_coding
ABCC12	16	47.16	protein_coding
ABCC13	21	36.49	pseudogene
ABCC2	10	45.12	protein_coding
ABCC3	17	51.95	protein_coding
ABCC4	13	42.33	protein_coding
ABCC5	3	44.7	protein_coding
ABCC6	16	49.86	protein_coding
ABCC6P1	16	47.92	pseudogene
ABCC6P2	16	49.25	pseudogene
ABCC8	11	50.03	protein_coding
ABCC9	12	35.98	protein_coding
ABCD1	X	58.36	protein_coding
ABCD1	HG1497_PATCH	58.36	protein_coding
ABCD1P2	10	61.28	pseudogene
ABCD1P3	16	60.83	pseudogene
ABCD1P4	22	61.15	pseudogene
ABCD1P4	HG1488_PATCH	61.15	pseudogene
ABCD1P5	2	60.81	pseudogene
