GENE	GeneLength
GNAI3	3262
PBSN	902
CDC45	2143
H19	2286
SCML2	4847
APOH	1190
NARF	4395
CAV2	2733
KLF6	4217
SCMH1	3544
COX5A	690
TBX2	3626
TBX4	3153
ZFY2	2816
NGFR	3446
WNT3	3076
WNT9A	3320
FER	3008
XPO6	5028
TFE3	6328
AXIN2	4260
BAAT1	3854
GNA12	3416
SLC22A18	1552
ITGB2L	2806
IGSF5	1851
PIH1D2	1493
DLAT	4035
SDHD	1287
FGF23	1814
FGF6	1232
CCND2	5701
GPR107	6134
NALCN	7115
BTBD17	3020
SLFN4	3963
TH	1996
INS2	583
SCNN1G	2991
DRP2	7135
TSPAN32	1876
LHX2	2840
CLEC2G	2463
GMPR	1580
GLRA1	2390
MID2	6271
TRIM25	5590
DGKE	8347
SCPEP1	2097
MNT	4590
ITGB2	2970
HDDC2	2781
TPD52L1	1267
PEMT	1003
CDH1	4430
CDH4	6388
CKMT1	1620
BCL6B	3366
CLEC10A	2332
ALOX12	3001
ARVCF	4800
COMT	1978
RTCD1	1594
DBT	3296
DAZAP2	1826
MCTS1	783
REM1	1663
RNF17	5148
TRAPPC10	5048
CCM2	1858
WAP	905
TBRG4	2324
TMPRSS2	3159
MX1	3385
FAP	2867
GCG	1088
NDUFA9	1322
EGFL6	2704
LCK	2185
TSSK3	1280
CTTNBP2	5905
GALNT1	4108
MYF5	2083
MKRN2	2240
PPARG	1857
RAF1	3968
42248	1486
PDGFB	2918
ACVRL1	3640
GRASP	2013
ACVR1B	4375
TOM1L2	4999
GPA33	2515
ZFP385A	2291
ITGA5	4379
GABRA2	2392
WDR77	4286
ADORA3	2370
ATP5F1	2527
SOX9	4135
HNRNPD	4320
DYNLT1C	3250
C1D	2981
GM2A	4127
KRIT1	6105
CLCN4-2	4578
VMN2R88	2907
GRM6	4330
SEMA4F	4086
HK2	5513
MYO18A	7513
SEZ6	4523
HAAO	1222
CD52	514
ABHD15	2662
HOXB6	1962
LOXL3	4098
TCL1B5	1039
BTN1A1	3423
KAT2B	4653
RAB5B	3166
CRYBA1	1377
DNMT3L	1822
AIRE	2966
ICOSL	2756
SPG7	3385
SULT5A1	1150
RPL13	1969
CHMP1A	2140
RPA1	5077
SERPINF1	1832
TUBGCP3	5724
OPRM1	2420
POLR3D	2049
TCF7	2471
DDX3X	4692
IL12RB1	2873
SLC5A5	2928
KCNN3	2884
USP32	7053
CAR4	1256
TXNRD3	2836
FASL	1935
ZNF512B	5714
DNAJC5	6578
TPD52L2	3603
FMR1	4409
BCL11A	5989
IL4	605
PXMP4	2789
DLG3	5017
GNB1L	3596
DBH	2552
MMP11	2288
SMARCB1	7441
VPREB3	729
HIP1R	4388
NSUN5	2243
TOP1MT	1903
HOXA10	2565
HOXA4	1594
SNRPN	2076
MMP14	2597
SLC7A7	2142
OXA1L	2534
HEATR6	5614
CCL3	766
WFDC18	917
ICAM4	907
ILF2	1973
CHTOP	3257
SNAPIN	1928
S100A4	498
S100A3	712
S100A5	431
S100A6	719
SCN4A	6598
ICAM2	1282
MAPK7	4238
EPN2	4458
B9D1	890
SEC24B	5128
N4BP3	2367
RMND5B	1946
NHP2	1042
1300018I17RIK	3233
ZFP276	4111
C1QL4	874
MFSD10	1907
LUZP1	7526
SLC13A2	2412
KCTD10	3110
POLDIP2	2054
SEBOX	1349
IFT20	1167
COL6A1	4100
PCBP3	2544
LGALS9	1586
ARAF	2854
CFP	1636
TIMP1	883
UXT	875
CNNM3	5292
LMAN2L	4062
MCM3AP	6382
PCNT	9530
FTCD	2914
MXD1	4662
GMCL1	2944
SNRNP27	1005
OAS1C	2291
OAS1H	1709
OCRL	5253
CALM1	4107
AGPAT3	5980
SLC26A3	3462
SEMA6B	3847
UHRF1	3586
DPP9	3509
RAMP2	1478
LSR	3660
GRAMD1A	2681
HPN	1861
GABRG1	4771
CKB	1478
SP1	7754
ITGB7	2674
MYG1	1480
RARG	2953
PFDN5	1062
EFNB2	4324
RRP15	3092
RND2	1578
SRR	3699
SYNC	2330
FNDC5	2763
ACP5	1407
CNN1	2368
FBXO9	2155
CCDC132	5257
APBB3	2061
HARS	1987
ZMAT2	2257
UBE2C	2191
SMG5	4447
CCT3	3335
RHBG	1937
0610031J06RIK	4219
MEF2D	5401
TMEM79	2406
SND1	3781
COL18A1	6338
SLC19A1	2863
KPNB1	5894
NPEPPS	4215
TBX21	2488
MRPL10	1708
CYP51	3931
TCF25	2937
TUBB6	1757
DEF8	3242
MEOX1	2228
SOST	2066
NKX2-1	2832
PAX9	4347
IRX2	2623
COL1A1	5930
ITGA3	4861
SGCA	1724
DLX3	2637
FOXM1	4399
ITFG2	3190
NRIP2	3261
TULP3	3395
GTF2H4	1679
TUBB5	2644
ELL2	3647
JUP	3205
FKBP10	2584
KLHL10	2017
MNX1	2290
NOM1	4882
ERGIC1	3195
TNK1	2778
ACAP1	2973
TCEA3	1251
CSN3	1750
IFRD1	3378
STK38L	4550
BRPF1	4729
AKR1B3	3254
HOXC13	2461
HOXC11	2021
HOXC8	2299
HOXC6	1675
GSTT1	1105
GSTT3	1880
DDT	649
TAT	2375
MARVELD3	2447
DDX18	2258
UBL3	2667
GRAMD3	2605
EEF1E1	1032
AKT1	2690
CLDN15	1902
IL16	5021
TCIRG1	3041
NAGLU	2560
COASY	2386
SMO	3779
TSPAN33	3558
CRNKL1	3428
RIN2	4657
FOLH1	2671
CHORDC1	2205
D10WSU52E	2009
PWP1	2572
FBXO7	5388
CAPNS1	1546
LRP3	4019
DSG4	3478
EVX2	4489
HOXD13	2483
HOXD12	2619
FOLR1	1383
CLPB	4627
42254	2533
ZDHHC4	1364
RAC1	2325
NUP214	6605
AIF1L	2996
CPA3	1452
LTBP1	6671
UGP2	2683
KCNH6	3368
TRMT1	3647
NACC1	4300
NFIX	5476
SLC1A5	2807
UBA1	4071
VWF	8834
SIAE	3433
VSIG2	1170
ESAM	1865
SPA17	689
FAM50A	1918
EMD	1595
TACO1	1383
GRIK3	8973
GRIA3	5206
NPAS1	2091
SIPA1L2	6365
AP4E1	4600
BLVRA	1460
PDZD4	3970
SRPK3	2711
IDH3G	2080
PNCK	1536
SSR4	2568
BCAP31	1219
FAM98A	2817
LTBP2	6769
MLL1	16470
IFT46	3411
TMEM25	2837
CD3G	1023
TRAPPC6A	955
SUPT6H	6488
SPAG5	3887
FOXN1	3214
UNC119	1371
RAB34	1685
SDF2	1268
CCNE1	2000
HSF2BP	2867
BBC3	1814
MYBPC3	4163
PSMC3	1819
ACP2	4656
RAPSN	1606
SLC39A13	2469
CELF2	8875
NR1H3	1985
DDB2	2297
SFPI1	2034
SF3A1	4920
STAT6	3775
CLGN	3902
NAPSA	1508
VRK3	1969
SMG9	2242
PAXIP1	5052
RMND5A	6165
MOV10	3718
PPM1J	1721
RHOC	1079
4930432K09RIK	1336
TEAD3	3441
PPARD	3218
DEF6	2277
PEG3	8694
ZIM1	3519
METRN	1363
LMF1	3863
NARFL	3016
ANGPTL4	3053
DBF4	2509
DAXX	2673
CD320	2209
IPO4	4312
TM9SF1	2517
REC8	2184
IRF9	3869
GMPR2	1543
MDP1	1733
DHRS1	2502
NCAN	7195
TMEM161A	3018
ARMC6	2263
2310045N01RIK	1339
SLC25A42	3657
SNX9	2411
RANBP3	2511
NDUFA11	2661
BMP8B	2940
NR2F6	2218
USE1	1064
OCEL1	5285
DYRK1B	2534
BRAF	9728
NDUFB2	4371
HLTF	4955
PRPF6	3054
RGS19	1511
RGS20	2125
ABHD3	1962
SNRPD1	837
TCHP	3138
TIAM1	7406
TSC2	6018
RPL3L	1372
SLC9A3R2	2118
PUF60	1912
GOLGA2	4442
UCK1	2005
SCIN	2995
IKZF4	5150
MIEN1	747
PON1	1544
AXL	4265
TGFB1	2175
CCDC97	3032
ZFP40	4103
AKAP8L	2075
SHH	2692
PDCD2L	1295
GTF2F1	1717
CLPP	1207
ALKBH7	917
PSPN	474
DENND1C	2520
MED6	1059
PRKD1	3778
LCP2	3647
CSE1L	3641
NAA20	1883
PRKRA	1614
FKBP7	860
PLEKHA3	2534
YKT6	2541
BAZ1B	6492
PEX6	3383
MRPL2	1031
MEA1	840
GNMT	1035
GRIN2D	5431
KDELR1	1598
TMEM143	2766
PDXK-PS	2342
GGCT	3960
JAG2	4054
BTBD6	2057
NUDT14	793
EPDR1	2386
FLII	4060
TOP3A	3741
ATG4D	2541
QTRT1	1319
PLIN4	5755
HDGFRP2	2251
CHAF1A	3308
ADPRH	1583
TMEM39A	2871
TIMMDC1	1573
PLA1A	1972
MCM2	3370
TPRA1	1827
NAB1	3874
CD97	3000
IL17RA	3970
LAMB1	5784
KCNN1	4045
ARRDC2	2329
PPP1R17	1738
CD36	3566
MAP2K7	3525
TIMM44	3041
AP2A2	4639
PNKP	2135
MED25	2297
BCAM	2429
CLPTM1	4130
RELB	3273
TOMM40	2766
APOE	1386
APOC2	722
HBP1	3142
PRKAR2B	3378
CDKN1B	4552
KLF4	3029
AP1M1	2084
RAB8A	4550
HMGN2	2159
FAM32A	1910
ELF3	2000
CYP2C29	2822
STARD3NL	1283
STK11	3663
EFNA2	2131
ATP5D	1410
PPP5C	2072
CDK12	5912
LIPE	3713
PAFAH1B2	4241
TBC1D8	4436
D1BWG0212E	3474
SLC2A3	6253
FOXJ2	5283
SRI	2504
DGCR2	5703
MICAL3	2893
IRF3	2031
BCL2L12	1596
ZFP959	1620
MPND	1701
SH3GL1	2072
EBI3	1170
CCDC94	1311
RANBP2	9477
EDAR	3637
GRK5	3165
DVL3	2936
ABCF3	3090
EIF2B5	3186
CYTH2	2527
SULT2B1	1242
CAR11	1585
DLGAP1	7173
PLAG1	4774
HCK	2092
MRPL4	1285
KEAP1	4470
AP1M2	1738
GLG1	7021
ATP8B3	4411
BTBD2	3026
CSNK1G2	2436
FAM108A	1473
MOB3A	2644
CACNB3	2819
CCDC65	1890
FKBP11	731
DDX23	3411
PLD3	2297
GRIK5	3836
CD79A	1457
RABAC1	875
ETV3	7263
PRKCSH	2013
ELAVL3	5027
RAB3B	3327
ST8SIA6	7363
FCGRT	1738
NOSIP	2134
PIH1D1	1185
RPS11	602
SUPT5H	3509
DLL3	2618
PAF1	2003
TIMM50	1515
MED29	1281
BICD1	9667
NCSTN	3016
PEX19	2844
PHYHIP	2838
CRHR2	2924
INMT	1077
CYP4F18	1702
IMPDH1	2600
PSG18	1839
DUSP3	4445
PRODH	2385
DGCR14	2819
SLC25A1	1678
DGCR6	1415
DDR1	3874
IER3	1131
FOSB	3751
KLC4	2322
ERCC1	1375
CYP17A1	1815
AS3MT	1751
HOMER3	2608
CRTC1	10265
RNF215	1874
SEC14L2	2631
AVEN	4735
CP	4564
CROT	2996
RPS6KA1	3135
CALB2	1430
SNRNP200	6745
CIAO1	3075
HAS1	2090
TAF6L	2476
INSIG2	2697
KPNA6	5710
MAN1A	5134
ITPKC	3247
ADCK4	2276
BRD8	4468
KIF20A	3567
FARSA	3341
GCDH	2167
MAST2	5723
DNASE2A	4073
RAD23A	2074
CALR	2184
SYCE2	1686
NFAT5	13443
NOB1	2137
NQO1	1553
PPFIA3	4893
GYS1	3678
RUVBL2	2220
LIN7B	735
BAX	869
IL7R	3208
TFAM	4167
ZFP81	6639
EFNB3	3183
MMD	2677
HLF	5642
FAM162A	635
RPL8	862
GRM3	3536
SSBP2	3957
FANCL	2724
FAM5B	4099
GSTM5	1083
GSTM7	1377
GSTM3	1393
STAT3	6042
STAT5A	3958
PTRF	3491
MAP3K11	3801
AKT2	4544
DNAJA3	2648
HMOX2	1730
CDIP1	3953
B230120H23RIK	6663
CWC15	1111
COL5A3	6119
DNMT1	5876
PPAN	1834
ANGPTL2	3559
CACNA1E	12697
CACNA1B	9736
TRMT10A	4258
ETV1	4307
KIFC2	3143
PSAP	2657
IKBKG	6994
PAX2	4771
WARS2	4410
ATN1	4433
PHB2	2373
PTPN6	2308
ENO2	2795
EMG1	1074
LPCAT3	2373
ATP6V1F	806
IL12B	1944
CLCN5	8390
CLCN3	8193
HIF3A	6402
GPX6	1244
GPX5	1674
PDE1C	8847
UTP20	8831
SPIC	2290
9330159F19RIK	5644
CUL3	4709
SST	599
IL11	1267
LARGE	4647
DDX56	1956
TMED4	2003
EMID2	2781
BID	2415
RALB	2742
PPP1CC	2492
DNAJB11	2534
TBCCD1	2702
CLEC11A	1952
ZFP324	4595
GAB2	5997
CORO1C	5130
TAX1BP1	3285
PSG17	2100
PSG19	2547
CTSE	2124
NDRG2	2157
METTL17	3404
ARHGEF40	5622
PNPLA6	4496
MCOLN1	2445
ARHGEF18	5277
PKN2	6207
CD33	2571
ETFB	868
NKG7	878
LIM2	879
STXBP2	2908
PCP2	1606
SGCE	2212
CHN2	2983
WWOX	3781
SLBP	1906
TYR	3307
GHRHR	1598
AQP1	2627
ARID3B	4171
CNN2	2460
POLR2E	2403
ABCA13	16011
MYO9B	7297
HDAC9	4422
LY9	2488
CD244	3760
EMR1	3245
MTFP1	1411
RAB23	4401
RAB11A	2336
EIF2B2	1605
DLST	2767
PGF	1582
ULK2	5743
CCL24	1289
DGKQ	5345
TMED11	763
GRAP	1662
POU1F1	2240
CHMP2B	1838
PLOD3	3280
AP1S1	1353
MAPK13	1392
SRPK1	4956
PAX3	3863
LBR	3551
CRABP2	931
NES	6126
BCAN	3267
HAPLN2	2338
PRCC	2102
RRNAD1	3565
HDGF	2245
SLC25A18	1367
THOP1	2832
APBA3	2106
MATK	2983
PIAS4	2571
MAP2K1	2436
SGTA	1969
NMRK2	1840
TMEM242	971
DTX2	5420
ZP3	1323
HSPB1	930
RASA4	3967
SYT5	1747
HNRNPA2B1	4086
FXYD4	1199
CCDC130	2119
MRI1	2819
PRKACB	4342
SGSH	4357
CHD5	9486
CSTB	599
SH2B2	2848
PEX5	3148
JKAMP	1874
CD44	5614
SLC1A2	11595
EIF2AK4	5298
WDR1	2948
SLC2A9	3602
WISP1	5097
NDRG1	4049
4930550C14RIK	1237
MAN2B1	4325
KLF5	1721
WDR83	2707
PRDX2	1612
POLR2A	6740
SHBG	1419
SENP3	2313
CORIN	4862
PLEKHA8	6739
G6PC2	1892
SPC25	1869
DNAHC2	13704
RIPK4	3743
UFD1L	2078
ZFP287	3391
PRLR	9900
LETM1	5272
UBQLN1	3686
FGFR4	3324
CADM3	4159
FCER1A	1026
TXN2	2049
CASP14	2329
SLC1A6	2089
SLC1A3	4435
CRBN	2784
IL5RA	1704
MSH6	4254
FBXO11	4019
MLXIPL	3638
TBL2	5601
WBSCR22	1607
NID1	6046
MCM5	3422
HMOX1	1606
MPRIP	8766
CIC	8221
PAFAH1B3	1106
IL27RA	2657
PRKACA	2293
ASF1B	1788
MYL10	822
DDX39	3836
DNAJB1	2263
MSH4	3327
USP40	5049
EVX1	2877
KBTBD4	2437
CELF1	7851
NDUFS3	1046
POR	2636
IGF1R	4489
INSR	9355
FCER2A	2241
CYP2A5	2013
ATP4A	3498
TRIM28	3245
UBE2M	1472
ADCY9	4974
MEF2C	6427
CTR9	4300
EIF4G2	7646
MRVI1	6198
PCYT1A	4951
ZFP592	7297
PSMD4	2120
TMOD4	1260
INSRR	5102
CABP5	1777
SNX6	1928
MTHFD2	2085
KIT	5241
TOMM40L	2921
NR1I3	2980
APOA2	518
PAN2	4450
CS	2828
AMPD3	4094
BCAS2	3878
SH2D1A	2269
CTCF	3782
PARD6A	1273
AGRP	659
PVALB	977
TFAP4	2113
RANBP1	1085
CD247	2807
RFX5	4450
PSMB4	1183
MMP8	2453
SLC30A4	5458
SQRDL	1985
BLOC1S6	3484
METAP1	2549
GPR108	2095
TNFSF14	1859
GATA6	3194
RSL1D1	1945
CNGA2	3064
APC	12346
REEP5	2894
ERGIC3	1377
UQCC	3067
SPO11	3619
NCOA2	8171
PRL4A1	865
TRH	1384
NR2C2	7647
NR2C1	3732
SMPD4	5017
PEX1	4555
OTX1	5273
KCTD20	3839
ITGAE	3845
CTNS	2723
P2RX5	2395
SHPK	2856
TRPV1	3361
EPHB3	4748
TUFT1	2631
RCN1	2720
DNASE1	2782
TRAP1	2320
NAT15	2350
1700037C18RIK	2592
ANKRD13D	2139
TYRP1	2720
TPR	7480
PDC	1246
BC003331	3273
PRG4	4263
DHX34	4310
KPTN	1630
NAPA	2517
SRA1	2360
CALCOCO2	1621
ATP5G1	4715
SNF8	1764
TBCB	1416
INPP5K	3381
CRKL	3863
UPK3BL	1119
EPS8L1	3154
CLINT1	6729
PRSS16	2152
CDKAL1	4383
RHOX6	1010
5430419D17RIK	2928
HTRA1	2041
ZBTB17	3478
CLCNKB	2490
FAM131C	1433
FBLIM1	3101
HSPB7	2769
EPOR	1829
CCDC159	1545
MOB1B	6805
ATP6V1B1	1926
VAX1	2124
ATP6V1B2	2825
EPS15L1	3141
TEP1	8168
TTC5	1841
OSGEP	3388
AAMP	1820
TMBIM1	11011
ARPC2	1439
WBP7	8469
ZBTB32	1775
ETV2	1048
UPK1A	1308
TMEM147	868
RPS9	1347
TFPT	1166
SUSD2	3255
GGT5	4137
GGT1	2167
CRIP2	1437
CRIP1	445
CBFA2T3	4047
FBLN1	3659
PGRMC1	1857
